root,x,y,z,length,forms,notes
ثقل,5,22,24,3,5,"['1', '2', '4', '6', '10']"
ثكل,5,23,24,3,2,"['1', '4']"
ثل,5,24,0,2,6,"['1', '4', '5', '7', '8', 'R.Q.1']"
ثلب,5,24,3,3,2,"['1', '2']"
ثلث,5,24,5,3,4,"['1', '2', '4', '8']"
ثلج,5,24,6,3,3,"['1', '2', '4']"
ثلط,5,24,17,3,1,['1']
ثلم,5,24,25,3,4,"['1', '2', '5', '7']"
ثم,5,25,0,2,1,['1']
ثمد,5,25,9,3,6,"['1', '4', '8', '10', '11', 'Q.Q.4']"
ثمر,5,25,11,3,3,"['1', '2', '4']"
ثمل,5,25,24,3,4,"['1', '2', '4', '5']"
ثمن,5,25,26,3,3,"['1', '2', '4']"
ثن,5,26,0,2,3,"['2', '4', '5']"
ثنى,5,26,29,3,8,"['1', '2', '4', '5', '7', '8', '10', '12']"
ثوآ,5,28,1,3,1,['4']
ثوب,5,28,3,3,7,"['1', '2', '3', '4', '5', '6', '10']"
ثوخ,5,28,8,3,1,['1']
ثور,5,28,11,3,7,"['1', '2', '3', '4', '5', '7', '10']"
ثول,5,28,24,3,5,"['1', '4', '5', '7', '9']"
ثوى,5,28,29,3,4,"['1', '2', '4', '5']"
ثى,5,29,0,2,1,['2']
ثيخ,5,29,8,3,1,['1']
جآب,6,1,3,3,1,['1']
جآر,6,1,11,3,1,['1']
جآش,6,1,14,3,1,['1']
جآي,6,1,29,3,1,['3']
جب,6,3,0,2,8,"['1', '2', '3', '4', '5', '8', 'R.Q.1', 'R.Q.2']"
جبآ,6,3,1,3,2,"['1', '4']"
جبذ,6,3,10,3,3,"['1', '7', '8']"
جبر,6,3,11,3,7,"['1', '2', '4', '5', '7', '8', '10']"
جبل,6,3,24,3,4,"['1', '3', '4', '5']"
جبن,6,3,26,3,5,"['1', '2', '4', '5', '8']"
جبه,6,3,27,3,3,"['1', '2', '8']"
جبو,6,3,28,3,4,"['1', '2', '4', '8']"
جث,6,5,0,2,3,"['1', '7', '8']"
جثل,6,5,24,3,2,"['1', 'Q.Q.4']"
جثم,6,5,25,3,3,"['1', '2', '5']"
جثو,6,5,28,3,4,"['1', '3', '4', '6']"
جح,6,7,0,2,1,['R.Q.1']
جحر,6,7,11,3,6,"['1', '4', '5', '7', '8', '10']"
جحش,6,7,14,3,1,['1']
جحظ,6,7,18,3,2,"['1', '2']"
جحف,6,7,21,3,5,"['1', '3', '4', '6', '8']"
جحفل,6,7,21,4,6,"(1) ['Q.1', 'Q.2', '1', '4', '5', '6']"
جد,6,9,0,2,6,"['1', '2', '3', '4', '5', '10']"
جدب,6,9,3,3,4,"['1', '3', '4', '5']"
جدث,6,9,5,3,1,['8']
جدح,6,9,7,3,4,"['1', '2', '4', '8']"
جدر,6,9,11,3,5,"['1', '2', '4', '8', 'Q.Q.1']"
جدع,6,9,19,3,6,"['1', '2', '3', '4', '5', '6']"
جدف,6,9,21,3,4,"['1', '2', '4', '7']"
جدل,6,9,24,3,9,"['1', '2', '3', '4', '5', '6', '7', '8', 'Q.Q.1']"
جدو,6,9,28,3,5,"['1', '3', '4', '8', '10']"
جدى,6,9,29,3,3,"['1', '2', '4']"
جذ,6,10,0,2,6,"['1', '2', '5', '7', '8', 'R.Q.1']"
جذب,6,10,3,3,6,"['1', '3', '5', '6', '7', '8']"
جذر,6,10,11,3,4,"['1', '2', '4', '7']"
جذع,6,10,19,3,2,"['4', '6']"
جذف,6,10,21,3,4,"['1', '4', '5', '7']"
جذل,6,10,24,3,4,"['1', '4', '8', '10']"
جذم,6,10,25,3,5,"['1', '2', '4', '5', '7']"
جذو,6,10,28,3,5,"['1', '4', '6', '9', '12']"
جر,6,11,0,2,9,"['1', '2', '3', '4', '7', '8', '10', 'R.Q.1', 'R.Q.2']"
جرآ,6,11,1,3,5,"['1', '2', '5', '8', '10']"
جرب,6,11,3,3,5,"['1', '2', '4', 'Q.Q.1', 'Q.Q.2']"
جرثم,6,11,5,4,2,"['Q.2', 'Q.3']"
جرح,6,11,7,3,4,"['1', '2', '8', '10']"
جرد,6,11,9,3,5,"['1', '2', '5', '7', '8']"
جردب,6,11,9,4,1,(1) ['Q.1']
جردم,6,11,9,4,1,(2) ['Q.1']
جرذ,6,11,10,3,2,"['1', '2']"
جرذم,6,11,10,4,1,(1) ['Q.1']
جرز,6,11,12,3,2,"['1', '4']"
جرس,6,11,13,3,5,"['1', '2', '4', '5', '7']"
جرش,6,11,14,3,2,"['1', '2']"
جرض,6,11,16,3,2,"['1', '4']"
جرع,6,11,19,3,5,"['1', '2', '4', '5', '8']"
جرف,6,11,21,3,5,"['1', '2', '4', '5', '8']"
